Title	Wiki_text	Clean_wiki_text	Wikidata_desc	Clean_wikidata_desc	Category
Elbit Systems	"<p class=""mw-empty-elt""> </p> <p><b>Elbit Systems Ltd</b>. is an Israel-based international defense electronics company engaged in a wide range of programs throughout the world. The company, which includes Elbit Systems and its subsidiaries, operates in the areas of aerospace, land and naval systems, command, control, communications, computers, intelligence surveillance and reconnaissance (C4ISR), unmanned aircraft systems (UAS), advanced electro-optics, electro-optic space systems, electronic warfare suites, signal intelligence (SIGINT) systems, data links and communications systems and radios. </p><p>The company also focuses on the upgrading of existing military platforms, developing new technologies for defense, homeland security and commercial aviation applications and providing a range of support services, including training and simulation systems. </p><p>In 2016, Elbit Systems had approximately 13,895 employees, the majority of whom are engaged in engineering, mechanics, research and development, and other computing and technical areas.</p><p>Elbit Systems' shares are traded on the Tel Aviv Stock Exchange and NASDAQ. </p>"	elbit systems ltd is an israelbased international defense electronics company engaged in a wide range of programs throughout the world the company which includes elbit systems and its subsidiaries operates in the areas of aerospace land and naval systems command control communications computers intelligence surveillance and reconnaissance c4isr unmanned aircraft systems uas advanced electrooptics electrooptic space systems electronic warfare suites signal intelligence sigint systems data links and communications systems and radios the company also focuses on the upgrading of existing military platforms developing new technologies for defense homeland security and commercial aviation applications and providing a range of support services including training and simulation systems in 2016 elbit systems had approximately 13895 employees the majority of whom are engaged in engineering mechanics research and development and other computing and technical areaselbit systems shares are traded on the tel aviv stock exchange and nasdaq	Israel-based defense electronics company	israelbased defense electronics company	Companies
Cellcom (Israel)	"<p><b>Cellcom</b> (Hebrew: <span lang=""he"" dir=""rtl"">סלקום</span>) (TASE: CEL) is an Israeli telecommunications company. Founded in 1994, most of the company's business is centered on wireless service. Its current CEO is Avi Gabbay, who was appointed on 4 January 2020. As of June 2016, Cellcom had 2.812 million subscribers.</p>"	cellcom hebrew סלקום tase cel is an israeli telecommunications company founded in 1994 most of the companys business is centered on wireless service its current ceo is avi gabbay who was appointed on 4 january 2020 as of june 2016 cellcom had 2812 million subscribers	Israeli telecommunications company	israeli telecommunications company	Companies
NICE Ltd.	"<p><b>NICE Ltd.</b> (Hebrew: <span lang=""he"" dir=""rtl"">נייס</span>) is an Israel-based company, specializing in contact center software (NICE CXone), telephone voice recording, data security, surveillance, and Robotic Process Automation as well as systems that analyze recorded data. </p><p>The company serves various industries, such as financial services, telecommunications, healthcare, outsourcers, retail, media, travel, service providers, and utilities. </p><p>The primary listing of the company's shares is on the Tel Aviv Stock Exchange; where it is part of the TA-35 Index.Barak Eilam became CEO in April 2014, replacing Zeevi Bregman. Eilam previously headed the company's Americas division. As of November, 2020 the company had ~6,800 employees.</p> "	nice ltd hebrew נייס is an israelbased company specializing in contact center software nice cxone telephone voice recording data security surveillance and robotic process automation as well as systems that analyze recorded data the company serves various industries such as financial services telecommunications healthcare outsourcers retail media travel service providers and utilities the primary listing of the companys shares is on the tel aviv stock exchange where it is part of the ta35 indexbarak eilam became ceo in april 2014 replacing zeevi bregman eilam previously headed the companys americas division as of november 2020 the company had 6800 employees	surveillence and data analytics company in Israel	surveillence and data analytics company in israel	Companies
Kamada (company)	<p><b>Kamada Ltd.</b> is a biopharmaceutical company specializing in the development, manufacture and marketing of proteins as pharmaceuticals. The company's headquarters and laboratories are located in the park of Kiryat Weizmann Institute of Science in Rehovot. The production facility is located in Kibbutz Beit Kama. </p><p>The company produces about 10 injectable and marketed drugs in more than 15 countries. </p>	kamada ltd is a biopharmaceutical company specializing in the development manufacture and marketing of proteins as pharmaceuticals the companys headquarters and laboratories are located in the park of kiryat weizmann institute of science in rehovot the production facility is located in kibbutz beit kama the company produces about 10 injectable and marketed drugs in more than 15 countries	pharmaceutical company	pharmaceutical company	Companies
Osem (company)	"<p><b>Osem Investments Ltd.</b> (Hebrew: <span lang=""he"" dir=""rtl"">אֹסֶם השקעות בע""מ</span>) is one of the largest food manufacturers and distributors in Israel. The group is owned (100%) by Nestlé S.A. of Switzerland.</p><p>Before it was acquired by Nestlé, the company was publicly traded and listed on the Tel Aviv Stock Exchange. It was a constituent of the TA-25 Index. </p>"	osem investments ltd hebrew אֹסֶם השקעות בעמ is one of the largest food manufacturers and distributors in israel the group is owned 100 by nestlé sa of switzerlandbefore it was acquired by nestlé the company was publicly traded and listed on the tel aviv stock exchange it was a constituent of the ta25 index	Israeli company	israeli company	Companies
Cofix	"<p><b>Cofix</b> (Hebrew: <span lang=""he"" dir=""rtl"">קופיקס</span>, a portmanteau of coffee and fix) is an Israeli coffee shop, bar and supermarket chain established in 2013 by Avi Katz, which uses a fixed price menu system. Most Cofix branches are in city centers, and other popular areas, but some are located in or next to educational institutions, such as Haifa University</p><p>The chain sells fresh coffee at a fixed and low price, as well as associated food products, under the slogan ""fresh coffee, fixed price"". The Cofix Bar part of the chain also includes alcoholic beverages, and Super Cofix is a Cofix-based supermarket. The chain originally offered all of its products at a fixed price of NIS 5 ($1.4), including in the bar and supermarket branches,</p><p>Cofix is listed at the Tel Aviv Stock Exchange under AGRI. Upon its entrance into the stock market, it was valued at NIS 90 million (~$25 million). As such, Cofix became the first coffee shop chain to be listed at TASE.</p>"	cofix hebrew קופיקס a portmanteau of coffee and fix is an israeli coffee shop bar and supermarket chain established in 2013 by avi katz which uses a fixed price menu system most cofix branches are in city centers and other popular areas but some are located in or next to educational institutions such as haifa universitythe chain sells fresh coffee at a fixed and low price as well as associated food products under the slogan fresh coffee fixed price the cofix bar part of the chain also includes alcoholic beverages and super cofix is a cofixbased supermarket the chain originally offered all of its products at a fixed price of nis 5 14 including in the bar and supermarket branchescofix is listed at the tel aviv stock exchange under agri upon its entrance into the stock market it was valued at nis 90 million 25 million as such cofix became the first coffee shop chain to be listed at tase	coffee shop chain located in Israel	coffee shop chain located in israel	Companies
El Al	"<p><b>El Al Israel Airlines Ltd.</b> (TASE: ELAL, Hebrew: <span lang=""he"" dir=""rtl"">אל על נתיבי אויר לישראל בע״מ</span>), trading as <b>El Al</b> (Hebrew: <span dir=""rtl"">אל על</span>‎, ""Upwards"", ""To the Skies"" or ""Skywards"", stylized as <b>EL<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1020748213""><span dir=""rtl"">על</span>‎AL<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1020748213""><span dir=""rtl"">אל</span>‎</b>; Arabic: <span lang=""ar"" dir=""rtl"">إل-عال</span>), is the flag carrier of Israel. Since its inaugural flight from Geneva to Tel Aviv in September 1948, the airline has grown to serve over 50 destinations, operating scheduled domestic and international services and cargo flights within Israel, and to Europe, the Middle East, the Americas, Africa, and the Far East, from its main base in Ben Gurion Airport. </p><p>El Al is the only commercial airline to equip its planes with missile defense systems to protect its planes against surface-to-air missiles, and is considered one of the world's most secure airlines, thanks to its stringent security procedures, both on the ground and on board its aircraft. Although it has been the target of many attempted hijackings and terror attacks, only one El Al flight has ever been hijacked; that incident did not result in any fatalities.</p><p>As Israel's national airline, El Al has played an important role in humanitarian rescue efforts, airlifting Jews from other countries to Israel, setting the world record for the most passengers on a commercial aircraft (single plane record of 1,088 passengers on a 747) by Operation Solomon when 14,500 Jewish refugees were transported from Ethiopia in 1991.</p><p>El Al offers only kosher in-flight meals, and does not fly passengers on the Jewish Shabbat or religious holidays.</p><p>In 2012, El Al operated an all-Boeing fleet of 42 aircraft, flying over 4 million passengers, and employed a staff of 6,056 globally. The company's revenues for 2016 were $2,040 million, with losses of $81 million, compared to a profit of $57 million in 2010. In 2018, the company's revenue was $7.7 billion with a net loss of $187.55 million. In July 2020, having lost hundreds of millions of dollars due to grounded flights and layoffs as a result of the COVID-19 pandemic in Israel and abroad, the company reached a bailout deal with the government, and a private buyer purchased a controlling stake (42.85%) in September of that year, with the government purchasing any unwanted shares (15%). </p>"	el al israel airlines ltd tase elal hebrew אל על נתיבי אויר לישראל בע״מ trading as el al hebrew אל על‎ upwards to the skies or skywards stylized as elעל‎alאל‎ arabic إلعال is the flag carrier of israel since its inaugural flight from geneva to tel aviv in september 1948 the airline has grown to serve over 50 destinations operating scheduled domestic and international services and cargo flights within israel and to europe the middle east the americas africa and the far east from its main base in ben gurion airport el al is the only commercial airline to equip its planes with missile defense systems to protect its planes against surfacetoair missiles and is considered one of the worlds most secure airlines thanks to its stringent security procedures both on the ground and on board its aircraft although it has been the target of many attempted hijackings and terror attacks only one el al flight has ever been hijacked that incident did not result in any fatalitiesas israels national airline el al has played an important role in humanitarian rescue efforts airlifting jews from other countries to israel setting the world record for the most passengers on a commercial aircraft single plane record of 1088 passengers on a 747 by operation solomon when 14500 jewish refugees were transported from ethiopia in 1991el al offers only kosher inflight meals and does not fly passengers on the jewish shabbat or religious holidaysin 2012 el al operated an allboeing fleet of 42 aircraft flying over 4 million passengers and employed a staff of 6056 globally the companys revenues for 2016 were 2040 million with losses of 81 million compared to a profit of 57 million in 2010 in 2018 the companys revenue was 77 billion with a net loss of 18755 million in july 2020 having lost hundreds of millions of dollars due to grounded flights and layoffs as a result of the covid19 pandemic in israel and abroad the company reached a bailout deal with the government and a private buyer purchased a controlling stake 4285 in september of that year with the government purchasing any unwanted shares 15	flag-carrier airline of Israel	flagcarrier airline of israel	Companies
Teva Pharmaceuticals	"<p class=""mw-empty-elt""> </p> <p><b>Teva Pharmaceutical Industries Ltd.</b> (also known as <b>Teva Pharmaceuticals</b>) is an Israeli multinational pharmaceutical company with headquarters in Petah Tikva, Israel. It specializes primarily in generic drugs, but other business interests include active pharmaceutical ingredients and, to a lesser extent, proprietary pharmaceuticals. Until 2020, Teva Pharmaceuticals was the largest generic drug manufacturer, when it was surpassed by US-based Pfizer. Overall, Teva is the 18th largest pharmaceutical company in the world.</p><p>Teva's facilities are located in Israel, North America, Europe, Australia, and South America. Teva shares are listed on the Tel Aviv Stock Exchange. The company is a member of the Pharmaceutical Research and Manufacturers of America (PhRMA).</p>"	teva pharmaceutical industries ltd also known as teva pharmaceuticals is an israeli multinational pharmaceutical company with headquarters in petah tikva israel it specializes primarily in generic drugs but other business interests include active pharmaceutical ingredients and to a lesser extent proprietary pharmaceuticals until 2020 teva pharmaceuticals was the largest generic drug manufacturer when it was surpassed by usbased pfizer overall teva is the 18th largest pharmaceutical company in the worldtevas facilities are located in israel north america europe australia and south america teva shares are listed on the tel aviv stock exchange the company is a member of the pharmaceutical research and manufacturers of america phrma	Israeli pharmaceutical company	israeli pharmaceutical company	Companies
Walla!	"<p><b>Walla! Communications Ltd.</b> (Hebrew: <span lang=""he"" dir=""rtl"">וואלה! תקשורת בע""מ</span>) is an Israeli internet company headquartered in Tel Aviv and is fully owned by The Jerusalem Post. Until 2020, it was fully owned by Bezeq. Walla!'s web portal provides news, search (powered by Google Search) and e-mail, among other things. It is also one of the first Israeli internet portals, and is considered one of the most popular web sites in the country. As of January 2022, Alexa rankings put it in the top 9 sites by traffic originating in Israel. Its online news outlet Walla! News is one of the major Israeli news websites. </p><p>The outlet has been accused of biased media reporting in favour of Prime Minister Benjamin Netanyahu. Employees of the company have been summoned as witnesses in Case 4000, one of the corruption trials involving Netanyahu. </p> "	walla communications ltd hebrew וואלה תקשורת בעמ is an israeli internet company headquartered in tel aviv and is fully owned by the jerusalem post until 2020 it was fully owned by bezeq wallas web portal provides news search powered by google search and email among other things it is also one of the first israeli internet portals and is considered one of the most popular web sites in the country as of january 2022 alexa rankings put it in the top 9 sites by traffic originating in israel its online news outlet walla news is one of the major israeli news websites the outlet has been accused of biased media reporting in favour of prime minister benjamin netanyahu employees of the company have been summoned as witnesses in case 4000 one of the corruption trials involving netanyahu	Israeli internet company	israeli internet company	Companies
Strauss Group	"<p class=""mw-empty-elt""> </p> <p><b>Strauss Group Ltd.</b> (Hebrew: <span lang=""he"" dir=""rtl"">שטראוס גרופ בע״מ</span>), formerly known as <b>Strauss-Elite</b> (<span title=""Hebrew-language text""><span lang=""he"" dir=""rtl"">שטראוס עלית</span></span>), is among the largest food products manufacturers in Israel. Strauss Group focuses on dairy products, coffee, water, snacks, salads, and dips. Its subsidiary Strauss Coffee is a leading coffee company in Eastern Europe and Brazil. </p><p>The Group has 15,000 employees worldwide, is active in more than 20 countries. Strauss has collaborations with Danone, PepsiCo, Haier and Virgin. </p>"	strauss group ltd hebrew שטראוס גרופ בע״מ formerly known as strausselite שטראוס עלית is among the largest food products manufacturers in israel strauss group focuses on dairy products coffee water snacks salads and dips its subsidiary strauss coffee is a leading coffee company in eastern europe and brazil the group has 15000 employees worldwide is active in more than 20 countries strauss has collaborations with danone pepsico haier and virgin	Israeli company	israeli company	Companies
Korean taco	<p><b>Korean tacos</b> are a Korean-Mexican fusion dish popular in a number of urban areas in the United States and Canada. Korean tacos originated in Los Angeles, often as street food, consisting of Korean-style fillings, such as bulgogi and kimchi, placed on top of small traditional Mexican corn tortillas. <b>Korean burritos</b> are a similarly themed dish, using larger flour tortillas as a wrap. </p>	korean tacos are a koreanmexican fusion dish popular in a number of urban areas in the united states and canada korean tacos originated in los angeles often as street food consisting of koreanstyle fillings such as bulgogi and kimchi placed on top of small traditional mexican corn tortillas korean burritos are a similarly themed dish using larger flour tortillas as a wrap	A Korean-Mexican Fusion disk	a koreanmexican fusion disk	Foods
Budae-jjigae	"<p><i><b>Budae-jjigae</b></i> (<span title=""Korean-language text""><span lang=""ko-Hang"">부대찌개</span></span>; literally ""army base stew"") or <b>spicy</b> <b>sausage stew</b> is a type of Korean <i>jjigae</i> (stew), made with ham, sausage, Spam, baked beans, kimchi, instant noodles, and gochujang. The dish was created shortly after the armistice that ended the Korean War, using the scrounged or smuggled surplus foods from U.S. military bases. Although the dish was born in the period of post-war impoverishment, it continued to be popular during the period of rapid growth, and is still popular today. There are many restaurants specializing in <i>budae-jjigae</i>, with the most famous ones on the <i>budae-jjigae</i> street in Uijeongbu, where the dish was allegedly first made. The dish is now a popular <i>anju</i> (accompaniment to alcoholic drinks) and a comfort food cooked on the table in a big pot in front of the diners and enjoyed as it is cooked for many Koreans.</p> "	budaejjigae 부대찌개 literally army base stew or spicy sausage stew is a type of korean jjigae stew made with ham sausage spam baked beans kimchi instant noodles and gochujang the dish was created shortly after the armistice that ended the korean war using the scrounged or smuggled surplus foods from us military bases although the dish was born in the period of postwar impoverishment it continued to be popular during the period of rapid growth and is still popular today there are many restaurants specializing in budaejjigae with the most famous ones on the budaejjigae street in uijeongbu where the dish was allegedly first made the dish is now a popular anju accompaniment to alcoholic drinks and a comfort food cooked on the table in a big pot in front of the diners and enjoyed as it is cooked for many koreans	jjigae (Korean stew) made with ham, sausage, Spam, baked beans, kimchi and gochujang, invented shortly after the Korean War from scrounged or smuggled surplus foods from the U. S. army bases, after which the dish is named	jjigae korean stew made with ham sausage spam baked beans kimchi and gochujang invented shortly after the korean war from scrounged or smuggled surplus foods from the u s army bases after which the dish is named	Foods
Don Chow Tacos	"<p><b>Don Chow Tacos</b> was a Chinese-Mexican fusion food truck based in Los Angeles, California. A veteran in the food truck industry, Don Chow was founded on April 22, 2009, by Dominic Lau and Lawrence Lie. Their motto, “Where Chino meets Latino”, represents the pair's Chinese heritage, (represented by the truck's logo, a depiction of the traditional Chinese guardian lion), and the Hispanic influences that had been constant in their lives as they grew up in LA. Don Chow Tacos ceased operations on February 16, 2015. </p><p>Don Chow has appeared on the Food Network's <i>Diners, Drive-Ins and Dives</i>, as well NBC and KTLA. Don Chow is also set to appear on the Cooking Channel's ""Chinese Food Made Easy"" for offering some of the best late-night street food in Los Angeles. </p>"	don chow tacos was a chinesemexican fusion food truck based in los angeles california a veteran in the food truck industry don chow was founded on april 22 2009 by dominic lau and lawrence lie their motto “ where chino meets latino ” represents the pairs chinese heritage represented by the trucks logo a depiction of the traditional chinese guardian lion and the hispanic influences that had been constant in their lives as they grew up in la don chow tacos ceased operations on february 16 2015 don chow has appeared on the food networks diners driveins and dives as well nbc and ktla don chow is also set to appear on the cooking channels chinese food made easy for offering some of the best latenight street food in los angeles	chinese-Mexican fusion food truck based in Los Angeles	chinesemexican fusion food truck based in los angeles	Foods
Korean-Mexican fusion	"<p><b>Korean–Mexican fusion</b> is a type of fusion cuisine originally from Los Angeles that combines traditional elements of American-style Mexican food and Korean food. The earliest Korean-Mexican fusion featured Mexican or Tex-Mex dishes such as tacos or burritos filled with Korean-style barbecued meats and kimchi. Typical dishes include Korean tacos and bulgogi burritos. Food critics Jane and Michael Stern state that Korean–Mexican fusion is a growing food trend that has steadily gained in popularity since 2009.</p><p>Restaurants serving Korean tacos have existed in the United States at least since 1996, with a restaurant in Santa Monica, California called ""2424 Pico"" using the name for Korean fillings inside of a lettuce wrap. The proprietors of the Kogi Korean BBQ, a food truck in Los Angeles, California, used Twitter to announce their schedule and itinerary. In the following years, food trucks serving Korean–Mexican fusion opened in several cities across the U.S., including San Francisco, Austin, Chicago, Portland, Seattle and Washington. after the first food truck serving Korean tacos, Kogi Korean BBQ, opened in Los Angeles in late 2008.</p><p>Several restaurants serving Korean–Mexican fusion exist in Seoul, South Korea and Beijing, China. Unlike in the United States, Korean-Mexican fusion exists in the casual dining segment, while street food trucks continue to dominate in the US.</p><p>Typical dishes include tacos or burritos prepared with Korean barbecue, such as kalbi or spicy chicken, and American foods such as french fries with kimchi.</p>"	korean–mexican fusion is a type of fusion cuisine originally from los angeles that combines traditional elements of americanstyle mexican food and korean food the earliest koreanmexican fusion featured mexican or texmex dishes such as tacos or burritos filled with koreanstyle barbecued meats and kimchi typical dishes include korean tacos and bulgogi burritos food critics jane and michael stern state that korean–mexican fusion is a growing food trend that has steadily gained in popularity since 2009restaurants serving korean tacos have existed in the united states at least since 1996 with a restaurant in santa monica california called 2424 pico using the name for korean fillings inside of a lettuce wrap the proprietors of the kogi korean bbq a food truck in los angeles california used twitter to announce their schedule and itinerary in the following years food trucks serving korean–mexican fusion opened in several cities across the us including san francisco austin chicago portland seattle and washington after the first food truck serving korean tacos kogi korean bbq opened in los angeles in late 2008several restaurants serving korean–mexican fusion exist in seoul south korea and beijing china unlike in the united states koreanmexican fusion exists in the casual dining segment while street food trucks continue to dominate in the ustypical dishes include tacos or burritos prepared with korean barbecue such as kalbi or spicy chicken and american foods such as french fries with kimchi	type of fusion cuisine	type of fusion cuisine	Foods
Mexican-American cuisine	"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1045330069""><p><b>Mexican-American cuisine</b> is the cuisine of Mexican Americans and their descendants, who have modified Mexican cuisine under the influence of American culture and immigration patterns of Mexicans to the United States. </p><p>What many recognize as Mexican cuisine is the product of a storied fusion of cultures and flavors. Its culinary adaptability has impacted its spread and popularity on a global scale and its presence in the United States is no exception. Culinary staples like tortillas, salsa, chips, chili, burritos, and tacos help to formulate many Americans' notions of Mexican food. </p><p>Due in part to big business, immigration, and widespread likability, Mexican food and dishes have largely become regular constituents in American homes. While some of these popular iterations of Mexican food are far removed from their Mexican origins, they make up a large portion of the diets of many Americans. Additionally, more traditional Mexican cuisine has become more common in the United States as it further diffuses to regions far from the U.S.-Mexico border.</p> "	mexicanamerican cuisine is the cuisine of mexican americans and their descendants who have modified mexican cuisine under the influence of american culture and immigration patterns of mexicans to the united states what many recognize as mexican cuisine is the product of a storied fusion of cultures and flavors its culinary adaptability has impacted its spread and popularity on a global scale and its presence in the united states is no exception culinary staples like tortillas salsa chips chili burritos and tacos help to formulate many americans notions of mexican food due in part to big business immigration and widespread likability mexican food and dishes have largely become regular constituents in american homes while some of these popular iterations of mexican food are far removed from their mexican origins they make up a large portion of the diets of many americans additionally more traditional mexican cuisine has become more common in the united states as it further diffuses to regions far from the usmexico border	culinary traditions of Mexican Americans	culinary traditions of mexican americans	Foods
Teredo navalis	"<p class=""mw-empty-elt""> </p> <p><i><b>Teredo navalis</b></i>, commonly called the <b>naval shipworm</b> or <b>turu</b>, is a species of saltwater clam, a marine bivalve mollusc in the family <i>Teredinidae</i>. This species is the type species of the genus <i>Teredo</i>. Like other species in this family, this bivalve is called a shipworm, because it resembles a worm in general appearance, while at the anterior end it has a small shell with two valves which is adept at boring through wood. </p><p>This species may have originated in the northeast Atlantic Ocean, but has spread around the world. It tunnels into underwater piers and pilings and is a major cause of damage and destruction to submarine timber structures and the hulls of wooden boats. </p> "	teredo navalis commonly called the naval shipworm or turu is a species of saltwater clam a marine bivalve mollusc in the family teredinidae this species is the type species of the genus teredo like other species in this family this bivalve is called a shipworm because it resembles a worm in general appearance while at the anterior end it has a small shell with two valves which is adept at boring through wood this species may have originated in the northeast atlantic ocean but has spread around the world it tunnels into underwater piers and pilings and is a major cause of damage and destruction to submarine timber structures and the hulls of wooden boats	Teredo navalis	teredo navalis	Foods
Gumboot chiton	"<p class=""mw-empty-elt""> </p> <p>The <b>gumboot chiton</b> (<i>Cryptochiton stelleri</i>), also known as the <b>giant western fiery chiton</b> or <b>giant Pacific chiton</b>, is the largest of the chitons, growing to 36 cm (14 in) and capable of reaching a weight of more than 2 kg (4.4 lb). It is found along the shores of the northern Pacific Ocean from Central California to Alaska, across the Aleutian Islands to the Kamchatka Peninsula and south to Japan. It inhabits the lower intertidal and subtidal zones of rocky coastlines. The gumboot chiton's appearance has led some tidepoolers to refer to it, fondly, as the ""wandering meatloaf"". The name ""gumboot chiton"" seems to derive from a resemblance to part of a rubber Wellington boot or ""gum rubber"" boot.</p><p>Chitons are molluscs that have eight armored plates (called valves) running in a flexible line down their back. Unlike most chitons, the gumboot's valves are completely hidden by its leathery upper skin or <i>girdle</i> that usually is reddish-brown or brown, but occasionally is orange in color. </p><p>Chitons have long arrays of fine teeth that are partially made of magnetite, making its teeth hard enough to scrape algae off rocks. The styli enclosing their teeth contain the mineral santabarbaraite, making the gumboot the first organism known to use this material that was discovered during 2000 in Italy.</p>"	the gumboot chiton cryptochiton stelleri also known as the giant western fiery chiton or giant pacific chiton is the largest of the chitons growing to 36 cm 14 in and capable of reaching a weight of more than 2 kg 44 lb it is found along the shores of the northern pacific ocean from central california to alaska across the aleutian islands to the kamchatka peninsula and south to japan it inhabits the lower intertidal and subtidal zones of rocky coastlines the gumboot chitons appearance has led some tidepoolers to refer to it fondly as the wandering meatloaf the name gumboot chiton seems to derive from a resemblance to part of a rubber wellington boot or gum rubber bootchitons are molluscs that have eight armored plates called valves running in a flexible line down their back unlike most chitons the gumboots valves are completely hidden by its leathery upper skin or girdle that usually is reddishbrown or brown but occasionally is orange in color chitons have long arrays of fine teeth that are partially made of magnetite making its teeth hard enough to scrape algae off rocks the styli enclosing their teeth contain the mineral santabarbaraite making the gumboot the first organism known to use this material that was discovered during 2000 in italy	species of mollusc	species of mollusc	Foods
Windowpane oyster	"<p class=""mw-empty-elt""> </p> <p>The <b>windowpane oyster</b> (<i>Placuna placenta</i>) is a bivalve marine mollusk in the family of Placunidae. They are edible, but valued more for their shells (and the rather small pearls). The shells have been used for thousands of years as a glass substitute because of their durability and translucence. More recently, they have been used in the manufacture of decorative items such as chandeliers and lampshades; in this use, the shell is known as <b>capiz shell</b> (<i>kapis</i>). Capiz shells are also used as raw materials for glue, chalk and varnish. </p><p>Distribution extends from the shallows of the Gulf of Aden to around the Philippines, where it is abundant in the eponymous province of Capiz. The mollusks are found in muddy or sandy shores, in bays, coves and lagoons to a depth of about 100 m (330 ft). </p><p>Populations have been in decline because of destructive methods of fishing and gathering such as trawling, dredging, blast fishing and surface-supplied diving. In the Philippines, fisheries are now regulated through permits, quotas, size limits and protected habitats. In spite of this, resources continue to be depleted.</p><p>The nearly flat shells of the capiz can grow to over 150 mm (5.9 in) in diameter, reaching maturity between 70 to 100 mm (2.8 to 3.9 in). The shell is secured by a V-shaped ligament. Males and females are distinguished by the color of the gonads. Fertilization is external and larvae are free-swimming like plankton for 14 days or attached to surfaces via byssal thread during metamorphosis, eventually settling on the bottom. They consume plankton filtered from the water passing through their slightly opened shell; the shell closes if the bivalve is above water during low tide.</p>"	the windowpane oyster placuna placenta is a bivalve marine mollusk in the family of placunidae they are edible but valued more for their shells and the rather small pearls the shells have been used for thousands of years as a glass substitute because of their durability and translucence more recently they have been used in the manufacture of decorative items such as chandeliers and lampshades in this use the shell is known as capiz shell kapis capiz shells are also used as raw materials for glue chalk and varnish distribution extends from the shallows of the gulf of aden to around the philippines where it is abundant in the eponymous province of capiz the mollusks are found in muddy or sandy shores in bays coves and lagoons to a depth of about 100 m 330 ft populations have been in decline because of destructive methods of fishing and gathering such as trawling dredging blast fishing and surfacesupplied diving in the philippines fisheries are now regulated through permits quotas size limits and protected habitats in spite of this resources continue to be depletedthe nearly flat shells of the capiz can grow to over 150 mm 59 in in diameter reaching maturity between 70 to 100 mm 28 to 39 in the shell is secured by a vshaped ligament males and females are distinguished by the color of the gonads fertilization is external and larvae are freeswimming like plankton for 14 days or attached to surfaces via byssal thread during metamorphosis eventually settling on the bottom they consume plankton filtered from the water passing through their slightly opened shell the shell closes if the bivalve is above water during low tide	species of mollusc	species of mollusc	Foods
Bigfin reef squid	"<p class=""mw-empty-elt""> </p> <p><i><b>Sepioteuthis lessoniana</b></i>, commonly known as the <b>bigfin reef squid</b>, <b>glitter squid</b> or <b>oval squid</b>, is a species of loliginid squid. It is one of the three currently recognized species belonging to the genus <i>Sepioteuthis</i>. Studies in 1993, however, have indicated that bigfin reef squids may comprise a cryptic species complex. The species is likely to include several very similar and closely related species. </p><p>Bigfin reef squids are characterised by a large oval fin that extends throughout the margins of its mantle, giving them a superficial similarity to cuttlefish. They are small to medium-sized squids, averaging 3.8 to 33 centimetres (1.5 to 13.0 in) in length. They exhibit elaborate mating displays and usually spawn in May, but it can vary by location. The paralarvae resemble miniature adults and are remarkable for already having the capability to change body colouration upon hatching. Bigfin reef squids have the fastest recorded growth rates of any large marine invertebrate, reaching 600 g (1.3 lb) in only four months. They are a short-lived species, with a maximum recorded lifespan of 315 days. </p><p>The diet of bigfin reef squids comprises mainly crustaceans and small fish. They are found in the temperate and tropical waters of the Pacific and Indian Oceans, and have recently been introduced into the Mediterranean as a Lessepsian migrant. They are commonly found near the shoreline, near rocks, and coral reefs. They are fished extensively for human consumption in Asia. Because of their rapid growth rate, short life span, and tolerance to handling and captivity, bigfin reef squids are regarded as one of the most promising species for mariculture. They are also a valuable source of giant axons for medical research. </p>"	sepioteuthis lessoniana commonly known as the bigfin reef squid glitter squid or oval squid is a species of loliginid squid it is one of the three currently recognized species belonging to the genus sepioteuthis studies in 1993 however have indicated that bigfin reef squids may comprise a cryptic species complex the species is likely to include several very similar and closely related species bigfin reef squids are characterised by a large oval fin that extends throughout the margins of its mantle giving them a superficial similarity to cuttlefish they are small to mediumsized squids averaging 38 to 33 centimetres 15 to 130 in in length they exhibit elaborate mating displays and usually spawn in may but it can vary by location the paralarvae resemble miniature adults and are remarkable for already having the capability to change body colouration upon hatching bigfin reef squids have the fastest recorded growth rates of any large marine invertebrate reaching 600 g 13 lb in only four months they are a shortlived species with a maximum recorded lifespan of 315 days the diet of bigfin reef squids comprises mainly crustaceans and small fish they are found in the temperate and tropical waters of the pacific and indian oceans and have recently been introduced into the mediterranean as a lessepsian migrant they are commonly found near the shoreline near rocks and coral reefs they are fished extensively for human consumption in asia because of their rapid growth rate short life span and tolerance to handling and captivity bigfin reef squids are regarded as one of the most promising species for mariculture they are also a valuable source of giant axons for medical research	species of mollusk	species of mollusk	Foods
